building,location,country,architect,year,photo
Cooled Conservatories,Wilkinson Eyre Architects,Singapore,,2013,130728-photographer-rocco-marosi-4292
Marina Bay Sands,Singapore,,Safdie Architects,2013,130728-photographer-rocco-marosi-4300
Cooled Conservatories,Singapore,,Wilkinson Eyre Architects,2013,130728-photographer-rocco-marosi-4230
Cooled Conservatories,Singapore,,Wilkinson Eyre Architects,2013,130728-photographer-rocco-marosi-4203
Marina Bay Sands,Singapore,,Safdie Architects,2013,130728-photographer-rocco-marosi-4198
Marina Bay Sands,Singapore,,Safdie Architects,2013,130728-photographer-rocco-marosi-4046
Artscience Museum,Singapore,,Safdie Architects,2013,130728-photographer-rocco-marosi-4248
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6097
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6069
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6052
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6107
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6045
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6110
Expo 2015,Milano,Italy,,2015,150509-photographer-rocco-marosi-6101
Pura Vida,Bali,Indonesia,,2008,080717-photographer-rocco-marosi-8013
Pura Vida,Bali,Indonesia,,2008,080717-photographer-rocco-marosi-8163
Ritz Carlton,Bali,Indonesia,,2008,080122-photographer-rocco-marosi-0850
Ritz Carlton,Bali,Indonesia,,2008,080122-photographer-rocco-marosi-0857
Ritz Carlton,Bali,Indonesia,,2008,080122-photographer-rocco-marosi-0854
Ritz Carlton,Bali,Indonesia,,2008,080122-photographer-rocco-marosi-0856
Tomas Saraceno,Genova,Italy,,2007,071021-photographer-rocco-marosi-5189
Tomas Saraceno,Genova,Italy,,2007,071019-photographer-rocco-marosi-4767
Art Clinic,Genova,Italy,,2007,071029-photographer-rocco-marosi-4940
Menjangan,Bali,Indonesia,,2008,080713-photographer-rocco-marosi-7419
Menjangan,Bali,Indonesia,,2008,080713-photographer-rocco-marosi-7384
Menjangan,Bali,Indonesia,,2008,080712-photographer-rocco-marosi-7292
Menjangan,Bali,Indonesia,,2008,080713-photographer-rocco-marosi-7481
