building,location,country,architect,year,photo
ArtScience Museum,Marina bay,Singapore,,2013,130728-photographer-rocco-marosi-4287
City Scape,Bangkok,Thailand,,2011,110823-photographer-rocco-marosi-5067
City Scape,Marina bay,Singapore,,2013,130728-photographer-rocco-marosi-4115
City Scape,Honkong,,,2012,120124-photographer-rocco-marosi-8162
Tomas Saraceno Installation,Genova,Italy,,2007,071020-photographer-rocco-marosi-5189
City Scape,Bangkok,Thailand,,2011,110811-photographer-rocco-marosi-4398
Unicredit HQ,Milano,Italy,,2013,130210-photo-rocco-marosi-1904
Marina Bay Sands,Marina bay,Singapore,,2013,130728-photographer-rocco-marosi-4012
Palazzo Ducale,Genova,Italy,,2012,071019-photographer-rocco-marosi-4779-2
The River South Tower,Bangkok,Thailand,,2011,110903-photographer-rocco-marosi-5552
Unicredit HQ,Milano,Italy,,2013,130210-photo-rocco-marosi-1968
Queen Sirikit Park,Bangkok,Thailand,,2012,120211-photographer-rocco-marosi-8890
Interlace,Singapore,,Ole Scheeren,2013,130729-photographer-rocco-marosi-4315
Unicredit HQ,Milano,Italy,,2013,130210-photo-rocco-marosi-1931
